Place_ID,Facility_Name,Facility_Group,Facility_Type,Address,Latitude,Longitude,Geometry
HLT001,Aperion Care Monroe,Healthcare,Nursing Home,"120 E Miller Drive, Bloomington, In 47401",39.146971,-86.526732,POINT (-86.52673161262301 39.14697075345173)
HLT002,IU Health Bloomington Hospital,Healthcare,Hospital,"2651 E Discovery Parkway, Bloomington, In 47408",39.177344,-86.503527,POINT (-86.50352701223837 39.17734385)
HLT003,Brickyard Healthcare - Bloomington Care Center,Healthcare,Nursing Home,"155 E Burks Drive, Bloomington, In 47401",39.126748,-86.529235,POINT (-86.5292347818554 39.1267477323763)
HLT004,Bloomington Regional Rehabilitation Hospital,Healthcare,Specialized Hospital,"3050 N Lintel Drive, Bloomington, In 47404",39.25007,-86.580849,POINT (-86.580849 39.25007)
HLT005,Majestic Care of Bloomington,Healthcare,Nursing Home,"1100 S Curry Pike, Bloomington, In 47403",39.149369,-86.582556,POINT (-86.58255630702538 39.149369323991316)
HLT006,Indiana University Student Health Center,Healthcare,Medical Center,"600 N Eagleson Avenue, Bloomington, In 47405",39.172119,-86.515183,POINT (-86.51518279610724 39.17211865)
HLT007,Bloomington Meadows Hospital,Healthcare,Mental Health Clinic,"3600 N Prow Road, Bloomington, In 47404",39.206053,-86.550987,POINT (-86.55098737289987 39.20605315)
HLT008,Stonecroft Health Campus,Healthcare,Assisted Living Facility,"363 S Fieldstone Boulevard, Bloomington, In 47403",39.16487,-86.605339,POINT (-86.605339 39.16487)
HLT009,HealthNet Bloomington Health Center,Healthcare,Medical Clinic,"811 W 2Nd Street, Bloomington, In 47403",39.161343,-86.542479,POINT (-86.54247940838711 39.16134305544695)
HLT011,Bell Trace Health & Living,Healthcare,Assisted Living Facility,"725 Bell Trace Circle, Bloomington, In 47408",39.168997,-86.488894,POINT (-86.4888937 39.1689974)
HLT012,IU Health Primary Care - Landmark,Healthcare,Medical Clinic,"550 S Landmark Avenue, Bloomington, In 47403",39.160693,-86.55504,POINT (-86.5550396 39.1606926)
HLT013,IU Health Urgent Care - Bloomington,Healthcare,Urgent Care Center,"326 S Woodscrest Drive, Bloomington, In 47401",39.163848,-86.502555,POINT (-86.50255477096619 39.16384763118611)
HLT014,IU Health Primary Care - Liberty,Healthcare,Medical Clinic,"1520 Liberty Drive, Bloomington, In 47403",39.147347,-86.577085,POINT (-86.577085 39.147347)
HLT015,Monroe Hospital,Healthcare,Hospital,"4011 S Monroe Medical Park Boulevard, Bloomington, In 47403",39.120358,-86.57181,POINT (-86.57181037497892 39.1203582)
HLT016,Activate by Everside Health,Healthcare,Medical Clinic,"119 W 7Th Street #264, Bloomington, In 47404",39.168632,-86.544156,POINT (-86.5441565 39.168632)
HLT018,The Cook Family Health Center,Healthcare,Medical Center,"402 N Rogers Street, Bloomington, In 47404",39.169831,-86.538311,POINT (-86.53831054245512 39.1698314)
HLT019,Bloomington Hospital Home Health,Healthcare,Home Health Care Service,"333 E Miller Drive, Bloomington, In 47401",39.14699,-86.529986,POINT (-86.52998628059434 39.146989899331416)
PRK001,Building Trades Park Playground,Parks,Playground,"619 W Howe Street, Bloomington, In",39.162207,-86.540408,POINT (-86.540414866514 39.162214528918)
PRK002,Upper Cascades Skate Park Trail Head N End,Parks,Trailhead,"N Of Upper Cascades Skate Park, Bloomington, In",39.194193,-86.535729,POINT (-86.535733706612 39.194200257505)
PRK003,Griffy Lake South Shore Trail North Trail End,Parks,Trailhead,"End Of South Shore Trail Near Shorelinein Griffy Woods Natur, Bloomington, In",39.198461,-86.516543,POINT (-86.516547725999 39.19846842229)
PRK004,John Waldron Arts Center,Parks,Arts Center/Gallery,"122 S Walnut Street, Bloomington, In",39.165732,-86.533868,POINT (-86.533873597119 39.165739367884)
PRK005,Griffy Lake South Shore Trail Sassafras CIR Trail,Parks,Trailhead,"E Sassafras Circle In Meadwood, Bloomington, In",39.192863,-86.519435,POINT (-86.51943999483 39.192870570358)
PRK006,Insomnia Cookies,Parks,Bakery,"430 E Kirkwood Avenue, Bloomington, In",39.166324,-86.528496,POINT (-86.528501014158 39.166331661954)
PRK007,Butler Park Ninth Street Loop Fairview Trail Head,Parks,Trailhead,"N Fairview Street North Of W 9Th Street And Park Parking Lot, Bloomington, In",39.171351,-86.541165,POINT (-86.541169923879 39.17135800188)
PRK008,Upper Cascades Skate Park Trail Head S End,Parks,Trailhead,"West Side Of Upper Cascades Skate Park, Bloomington, In",39.192131,-86.537473,POINT (-86.53747853473 39.192138304634)
PRK009,Lower Cascades Park Playground,Parks,Playground,"2851 N Old State Road 37, Bloomington, In",39.196251,-86.535839,POINT (-86.535844762592 39.19625719138)
PRK010,Clear Creek Trail South Trail Head,Parks,Trailhead,"West Of Intersection Of W Church Lane And S Rogers Street, Bloomington, In",39.107451,-86.543713,POINT (-86.543717816639 39.107458456973)
PRK011,Lower Cascades Park South Trail Head,Parks,Trailhead,"Lower Cascades Park Waterfall Shelter, Bloomington, In",39.194904,-86.536249,POINT (-86.536253913676 39.194911051839)
PRK012,Bloomington Rail Trail South Trail Head,Parks,Trailhead,"900 Ft North Of W Church Lane Clear Creek Trail Parking Lot, Bloomington, In",39.109703,-86.542624,POINT (-86.542629318822 39.109710283719)
PRK013,Schmalz Farm Park,Parks,Neighborhood Park,"3010 E Daniel Street, Bloomington, In",39.137063,-86.491814,POINT (-86.491833408794 39.137056625681)
PRK014,Griffy Lake Boathouse,Parks,Recreation Center,"3400 N Headley Road, Bloomington, In",39.198318,-86.513142,POINT (-86.513147381654 39.198325535134)
PRK015,Lower Cascades Ballfields,Parks,Sports Park,"3601 N Old State Road 37, Bloomington, In",39.202049,-86.535883,POINT (-86.535965427181 39.202078304397)
PRK016,Tuesday Farmers Market Location,Parks,Farmers Market,"At The Pavilion In Switchyard Park, Bloomington, In",39.146914,-86.536791,POINT (-86.536795983985 39.146921722587)
PRK017,Rev Ernest D Butler Park Playground,Parks,Playground,"812 W 9Th Street, Bloomington, In",39.171052,-86.541694,POINT (-86.541701297897 39.171058462527)
PRK018,Waldron Hill Buskirk Park,Parks,Community Park,"331 S Washington Street, Bloomington, In",39.163674,-86.531807,POINT (-86.531809145937 39.163637501123)
PRK019,Twin Lakes Trail Southern Trail Head,Parks,Trailhead,"N Of W Bloomfield Road Around Twin Lakes, Bloomington, In",39.154335,-86.566152,POINT (-86.566157599214 39.154342026637)
PRK020,Peoples Park,Parks,Community Park,"501 E Kirkwood Avenue, Bloomington, In",39.16678,-86.528009,POINT (-86.528000217561 39.166776802069)
PRK021,Park Ridge East Park,Parks,Neighborhood Park,"4421 E Morningside Drive, Bloomington, In",39.167584,-86.47452,POINT (-86.474524781115 39.167591444489)
PRK022,Clear Creek Trail North Trail Head,Parks,Trailhead,"Parking Lot On W Tapp Road E Of S Weimer Road, Bloomington, In",39.136406,-86.56126,POINT (-86.561265040788 39.136413614709)
PRK023,Crestmont Park,Parks,Neighborhood Park,"1209 W 15Th Street, Bloomington, In",39.175613,-86.549869,POINT (-86.549874526122 39.175620838703)
PRK024,Southeast Park,Parks,Neighborhood Park,"1600 S Sycamore Court, Bloomington, In",39.14889,-86.504314,POINT (-86.504318764366 39.148897787472)
PRK025,B-Line Trail South Trail Head,Parks,Trailhead,"W Country Club Drive Between S Madison Street And S Walnut Street, Bloomington, In",39.136063,-86.534864,POINT (-86.53486928338 39.136070008077)
PRK026,Sherwood Oaks Park Playground,Parks,Playground,"1600 E Elliston Drive, Bloomington, In",39.129625,-86.513503,POINT (-86.513511363692 39.129630776759)
PRK027,Clear Creek Trail,Parks,Multi-use Trail,"Rus From W Tapp Road To W Church Lane, Bloomington, In",39.12514,-86.55675,POINT (-86.556755310391 39.125147453357)
PRK028,B-Line Trail,Parks,Multi-use Trail,"350 W 7Th Street, Bloomington, In",39.168674,-86.537048,POINT (-86.537120080061 39.168706102128)
PRK029,Cascade Trail  East Trail Head,Parks,Trailhead,"E Stone Mill Road At N Old State Road 37, Bloomington, In",39.207926,-86.532163,POINT (-86.532168653058 39.207933110704)
PRK030,RCA Community Park,Parks,Community Park,"1400 W Rca Park Drive, Bloomington, In",39.145133,-86.546485,POINT (-86.54649066483 39.145140562643)
PRK031,Building Trades Park,Parks,Neighborhood Park,"619 W Howe Street, Bloomington, In",39.162269,-86.540628,POINT (-86.540696571373 39.162270752037)
PRK032,Seminary Square Plaza,Parks,Park Plaza Area,"West Side Of The W 2Nd Street Kroger Grocery Store On B-Line Tra, Bloomington, In",39.160194,-86.536193,POINT (-86.536198398859 39.16020153292)
PRK033,Winslow Sports Complex,Parks,Sports Park,"2801 S Highland Avenue, Bloomington, In",39.137837,-86.51607,POINT (-86.515403313299 39.138096364739)
PRK034,Polly Grimshaw Trail East Trail Head,Parks,Trailhead,"At E Longview Avenue And Glenwood Avenue W, Bloomington, In",39.167989,-86.490172,POINT (-86.490177639044 39.16799614438)
PRK035,Realtors Plaza,Parks,Park Plaza Area,"South Side Of 3Rd Street Bridge On The B-Line Trail, Bloomington, In",39.164466,-86.536199,POINT (-86.536204098449 39.16447364879)
PRK036,Griffy Lake Nature Preserve,Parks,Nature Park/Preserve,"3400 N Headley Road, Bloomington, In",39.199569,-86.510073,POINT (-86.510077992428 39.199576166561)
PRK037,Bloomington Rail Trail,Parks,Multi-use Trail,"Connects B-Line Trail At County Club Drive To Clear Creek Trail, Bloomington, In",39.119865,-86.538645,POINT (-86.538649910838 39.119872372996)
PRK038,Griffy Creek Trail East Trail Head,Parks,Trailhead,"East End Of Griffy Creek Trail On The East Side Of Griffy La, Bloomington, In",39.204914,-86.48652,POINT (-86.486525364626 39.204921511505)
PRK039,Sherwood Oaks Park,Parks,Neighborhood Park,"1600 E Elliston Drive, Bloomington, In",39.129445,-86.513553,POINT (-86.514220595866 39.129107092094)
PRK040,Leonard Springs Nature Park,Parks,Nature Park/Preserve,"4685 S Leonard Springs Road, Bloomington, In",39.116803,-86.592191,POINT (-86.591452899133 39.11924502224)
PRK041,Griffy Creek Trail Griffy Lake Trail Head,Parks,Trailhead,"East End Of The Griffy Lake Boathouse Parking Lot, Bloomington, In",39.197789,-86.511654,POINT (-86.511659104568 39.197796589684)
PRK042,Rev Ernest D Butler Park Southern Trail Head,Parks,Trailhead,"At W 9Th Street Across From N William Street, Bloomington, In",39.170523,-86.543203,POINT (-86.543207910223 39.170530071596)
PRK043,Showers Commons,Parks,Park Plaza Area,"In Front Of Showers City Hall, Bloomington, In",39.169549,-86.536361,POINT (-86.53636576098 39.169556431731)
PRK044,Lower Cascades Park,Parks,Community Park,"2851 N Old State Road 37, Bloomington, In",39.197182,-86.537293,POINT (-86.537169336951 39.197441245216)
PRK045,Browns Woods,Parks,Nature Park/Preserve,"S Basswood Drive Behind Canterbury Apartments, Bloomington, In",39.159034,-86.571556,POINT (-86.571561151248 39.159041576411)
PRK046,Olcott Park Shelter,Parks,Park Shelter,"401 N. Morton Street. Ste. 250, Bloomington, In 47408",39.125686,-86.511446,POINT (-86.51145284149 39.12569178156)
PRK047,Clear Creek Trail Access Highlands,Parks,Trailhead,"Western End Of W Gordon Pike, Bloomington, In",39.121964,-86.553256,POINT (-86.553261293989 39.121971457056)
PRK048,Jackson Creek Trail North Trail Head,Parks,Trailhead,"East Side Of  The S High Street And E Rogers Road Roundabout, Bloomington, In",39.136341,-86.507674,POINT (-86.507679056717 39.136347983268)
PRK049,Bryan Park,Parks,Community Park,"1001 S Henderson Street, Bloomington, In",39.155192,-86.525343,POINT (-86.525347719358 39.155199841512)
PRK050,Jackson Creek Trail South Trail Head,Parks,Trailhead,"300Ft East Of The East End Of E Elliston Drive, Bloomington, In",39.127011,-86.51155,POINT (-86.511554912037 39.127018393953)
PRK051,Winslow Ballfields Western Trail Head,Parks,Trailhead,"S Highland Avenue North Of E Winslow Road, Bloomington, In",39.136875,-86.517537,POINT (-86.517542439581 39.136882244509)
PRK052,Broadview Park Playground,Parks,Playground,"704 W Graham Drive, Bloomington, In",39.140141,-86.541167,POINT (-86.541173185534 39.140146470737)
PRK053,Miller Showers Park,Parks,Neighborhood Park,"150 W 17Th Street, Bloomington, In",39.180664,-86.534214,POINT (-86.534219496918 39.180671315274)
PRK054,Bloomington Rail Trail North Trail Head,Parks,Trailhead,"Parking Lot On W Country Club Drive East Of S Madison Street, Bloomington, In",39.135949,-86.535147,POINT (-86.535152199602 39.135956025259)
PRK055,Lower Cascades Park Waterfall Shelter,Parks,Park Shelter,"2851 N Old State Road 37, Bloomington, In 47408",39.194794,-86.536201,POINT (-86.536208898573 39.194801018057)
PRK056,Cascade Trail  West Trail Head,Parks,Trailhead,"In Kinser Pike At W Club House Drive, Bloomington, In",39.200989,-86.542899,POINT (-86.542904106237 39.200996008522)
PRK057,Polly Grimshaw Trail West Trail Head,Parks,Trailhead,"At N State Road 46 South Of Railroad, Bloomington, In",39.17019,-86.501504,POINT (-86.501509386946 39.170197549055)
PRK058,Animal Island Plaza,Parks,Park Plaza Area,"Southwest Corner Of 6Th And Morton Street Intersection On B-Line, Bloomington, In",39.167085,-86.53614,POINT (-86.536145011027 39.16709263256)
PRK059,Olcott Park Playground,Parks,Playground,"2300 E Canada Drive, Bloomington, In",39.126561,-86.511088,POINT (-86.511093257061 39.126568600212)
PRK060,Mills Pool,Parks,Swimming Pool,"1100 W 14Th Street, Bloomington, In",39.176049,-86.54478,POINT (-86.544784713551 39.176055933572)
PRK061,Byan Park Pool Shelter,Parks,Park Shelter,"1020 S Woodlawn Avenue Bldg 2, Bloomington, In",39.154976,-86.523757,POINT (-86.523762568876 39.154983579135)
PRK062,Twin Lakes Trail Northern Trail Head,Parks,Trailhead,"N Of W Bloomfield Road Around Twin Lakes, Bloomington, In",39.155099,-86.566348,POINT (-86.56635300782 39.155106160846)
PRK063,Switchyard Park Community Gardens,Parks,Community Garden,"At Switchyard Park, Near The Hillside Entrance, Bloomington, In",39.15062,-86.53599,POINT (-86.535993940387 39.150632291304)
PRK064,Griffy Lake Nature Trail Boathouse Trail Head,Parks,Trailhead,"North Of Side Of  The Griffly Lake Boathouse Parking Lot Acr, Bloomington, In",39.198629,-86.513189,POINT (-86.513194271316 39.198636010807)
PRK065,Goat Farm,Parks,Undeveloped Greenspace,"2000 E Winslow Road, Bloomington, In",39.134041,-86.510097,POINT (-86.510229015095 39.134040543835)
PRK066,Latimer Woods,Parks,Nature Park/Preserve,"3200 E Buick Cadillac Boulevard, Bloomington, In",39.158671,-86.492991,POINT (-86.492971346064 39.158675449588)
PRK067,Ferguson Dog Park,Parks,Dog Park,"4300 N Stone Mill Road, Bloomington, In",39.209444,-86.532102,POINT (-86.532174816526 39.209402001487)
PRK068,Griffy Lake North Shore Trail Dam Trail Head,Parks,Trailhead,"Griffy Lake Dam Off Of N Dunn Street, Bloomington, In",39.205854,-86.527317,POINT (-86.527322020684 39.205861909515)
PRK069,Switchyard Park Rogers Entrance,Parks,Entrance,"1601 S Rogers Street, Bloomington, In 47403",39.147728,-86.5388,POINT (-86.538805184572 39.147735422084)
PRK070,Butler Park Community Garden,Parks,Community Garden,"West End Of Rev Butler Park W 9Th Street, Bloomington, In",39.170885,-86.544307,POINT (-86.544312665122 39.17089210932)
PRK071,Willie Streeter Community Garden,Parks,Community Garden,"2120 S Highland Avenue, Bloomington, In",39.141654,-86.516716,POINT (-86.516578726725 39.142316530708)
PRK072,Switchyard Park Playground,Parks,Playground,"9509 E Northshore Drive, Bloomington, In",39.146412,-86.535688,POINT (-86.535719985767 39.146397344024)
PRK073,RCA Park Playground,Parks,Playground,"1400 W Rca Park Drive, Bloomington, In",39.145015,-86.545929,POINT (-86.545934474357 39.145022685874)
PRK074,RCA Community Park Shelter 2,Parks,Park Shelter,"1400 W Rca Park Drive, Bloomington, In 47403",39.145128,-86.548665,POINT (-86.548673224765 39.145134121843)
PRK075,Bryan Park Woodlawn Shelter,Parks,Park Shelter,"1020 S Woodlawn Avenue Bldg 3, Bloomington, In",39.155954,-86.523259,POINT (-86.523264653929 39.155961352223)
PRK076,Lower Cascades Park Sycamore Shelter,Parks,Park Shelter,"013-29010, E 10Th Street, Bloomington, In 47404",39.197827,-86.53767,POINT (-86.537677932114 39.197833495354)
PRK077,Banneker Community Center,Parks,Community Center,"930 W 7Th Street, Bloomington, In",39.168922,-86.545049,POINT (-86.545054219197 39.168929719659)
PRK078,Crestmont Park Playground,Parks,Playground,"1209 W 15Th Street, Bloomington, In",39.17603,-86.549676,POINT (-86.549680920311 39.176034530814)
PRK079,Griffy Lake Lanam Trail East Trail Head,Parks,Trailhead,"Near Lanam Road, Bloomington, In",39.195888,-86.495972,POINT (-86.495976676582 39.195895546837)
PRK080,Jackson Creek Trail,Parks,Multi-use Trail,"Runs From Sherwood Oaks Park To Childs School, Bloomington, In",39.132268,-86.510792,POINT (-86.510796784189 39.132275187263)
PRK081,Winslow Woods Park,Parks,Community Park,"2120 S Highland Avenue, Bloomington, In",39.141619,-86.51806,POINT (-86.516763372816 39.141713404233)
PRK082,Park Ridge East Park Playground,Parks,Playground,"4421 E Morningside Drive, Bloomington, In",39.167198,-86.474188,POINT (-86.474193048431 39.167205333814)
PRK083,Schmaltz Farm Park Playground,Parks,Playground,"3010 E Daniel Street, Bloomington, In",39.136732,-86.491876,POINT (-86.491881902186 39.136738385863)
PRK084,Twin Lakes Sports Park,Parks,Sports Park,"2350 W Bloomfield Road, Bloomington, In",39.153833,-86.567549,POINT (-86.567554160974 39.153840286252)
PRK085,Switchyard Park,Parks,Community Park,"Along The B-Trail From Grimes Lane To Country Club Drive, Bloomington, In",39.147738,-86.535056,POINT (-86.53506075916 39.147745062896)
PRK086,Griffy Lake Wetland Trail End,Parks,Trailhead,"Eastern Edge Of Griffy Lake Shoreline, Bloomington, In",39.197222,-86.508631,POINT (-86.508636275923 39.19722986499)
PRK087,Olcott Park,Parks,Community Park,"2300 E Canada Drive, Bloomington, In",39.12563,-86.510514,POINT (-86.510519182231 39.125637777052)
PRK088,Bryan Park Playground,Parks,Playground,"1001 S Henderson Street, Bloomington, In",39.156172,-86.526435,POINT (-86.526440221008 39.156179741805)
PRK089,Skate Park at Upper Cascades,Parks,Skate Park,"2602 N Kinser Pike, Bloomington, In",39.191876,-86.536883,POINT (-86.536984709071 39.192122262344)
PRK090,Cascades Golf Course Clubhouse,Parks,Golf Course,"3550 N Kinser Pike, Bloomington, In",39.201292,-86.539051,POINT (-86.539059060086 39.20129933764)
PRK091,Upper Cascades Park Shelter,Parks,Park Shelter,"514 W Club House Drive, Bloomington, In 47404",39.203274,-86.539554,POINT (-86.539558987243 39.203278460419)
PRK092,Upper Cascades Park,Parks,Community Park,"514 W Club House Drive, Bloomington, In",39.203276,-86.53948,POINT (-86.539555500944 39.203272953079)
PRK093,Bloomington Community Farmers Market,Parks,Farmers Market,"Showers City Hall South Parking Lot, Bloomington, In",39.169189,-86.536794,POINT (-86.536798853686 39.169196050318)
PRK094,Park Ridge Park Playground,Parks,Playground,"3421 E Longview Avenue, Bloomington, In",39.167952,-86.490563,POINT (-86.490569465361 39.167956954965)
